"","nu","n_u","total_rows","zero_count","proportion_zero"
"2041",0.13257114,0.13257114,212,45,0.212264150943396
"2042",0.13257114,0.13257114,212,45,0.212264150943396
"2043",0.13257114,0.13257114,212,45,0.212264150943396
"2044",0.13257114,0.13257114,212,45,0.212264150943396
"2045",0.13257114,0.13257114,212,45,0.212264150943396
"2046",0.13257114,0.13257114,212,45,0.212264150943396
"2047",0.13257114,0.13257114,212,45,0.212264150943396
"2048",0.13257114,0.13257114,212,45,0.212264150943396
"2049",0.13257114,0.13257114,212,45,0.212264150943396
"2050",0.13257114,0.13257114,212,45,0.212264150943396
"2051",0.13257114,0.13257114,212,45,0.212264150943396
"2052",0.13257114,0.13257114,212,45,0.212264150943396
"2053",0.13257114,0.13257114,212,45,0.212264150943396
"2054",0.13257114,0.13257114,212,45,0.212264150943396
"2055",0.13257114,0.13257114,212,45,0.212264150943396
"2056",0.13257114,0.13257114,212,45,0.212264150943396
"2057",0.13257114,0.13257114,212,45,0.212264150943396
"2058",0.13257114,0.13257114,212,45,0.212264150943396
"2059",0.13257114,0.13257114,212,45,0.212264150943396
"2060",0.13257114,0.13257114,212,45,0.212264150943396
"2061",0.13257114,0.13257114,212,45,0.212264150943396
"2062",0.13257114,0.13257114,212,45,0.212264150943396
"2063",0.13257114,0.13257114,212,45,0.212264150943396
"2064",0.13257114,0.13257114,212,45,0.212264150943396
"2065",0.13257114,0.13257114,212,45,0.212264150943396
"2066",0.13257114,0.13257114,212,45,0.212264150943396
"2067",0.13257114,0.13257114,212,45,0.212264150943396
"2068",0.13257114,0.13257114,212,45,0.212264150943396
"2069",0.13257114,0.13257114,212,45,0.212264150943396
"2070",0.13257114,0.13257114,212,45,0.212264150943396
"2071",0.13257114,0.13257114,212,45,0.212264150943396
"2072",0.13257114,0.13257114,212,45,0.212264150943396
"2073",0.13257114,0.13257114,212,45,0.212264150943396
"2074",0.13257114,0.13257114,212,45,0.212264150943396
"2075",0.13257114,0.13257114,212,45,0.212264150943396
"2076",0.13257114,0.13257114,212,45,0.212264150943396
"2077",0.13257114,0.13257114,212,45,0.212264150943396
"2078",0.13257114,0.13257114,212,45,0.212264150943396
"2079",0.13257114,0.13257114,212,45,0.212264150943396
"2080",0.13257114,0.13257114,212,45,0.212264150943396
"2081",0.13257114,0.13257114,212,45,0.212264150943396
"2082",0.13257114,0.13257114,212,45,0.212264150943396
"2083",0.13257114,0.13257114,212,45,0.212264150943396
"2084",0.13257114,0.13257114,212,45,0.212264150943396
"2085",0.13257114,0.13257114,212,45,0.212264150943396
"2086",0.13257114,0.13257114,212,45,0.212264150943396
"2087",0.13257114,0.13257114,212,45,0.212264150943396
"2088",0.13257114,0.13257114,212,45,0.212264150943396
"2089",0.13257114,0.13257114,212,45,0.212264150943396
"2090",0.13257114,0.13257114,212,45,0.212264150943396
"2091",0.13257114,0.13257114,212,45,0.212264150943396
"2092",0.13257114,0.13257114,212,45,0.212264150943396
"2093",0.13257114,0.13257114,212,45,0.212264150943396
"2094",0.13257114,0.13257114,212,45,0.212264150943396
